year,ProfitK,ProfitY,IY,RF,PE,growthpop,growthemp,growthGDP,priceinvt,PD,PEop,growthTFP,growthTFPADJ,ERP,KY,ystar,Drate,ik,LS,CS,PS,SP,ERPalt,SPMU,SPRISK,Spread2,gYN,ER,lev_net_mkt,kstar,vstar,cstar,xstar,logystar,logxstar,logcstar,EmpPop,logystar2,logxstar2,logcstar2,TobinQ
1949,14.458949,30.806847,15.33945,2.2155056,9.9016666,.89458287,-1.1642601,-.56330174,2.9664605,14.04154,11.765356,-.8738066,2.2739487,-99.989998,2.1306422,-99.989998,3.892525,7.2338958,-99.989998,-99.989998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,.60095841,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,55.467045,-99.989998,-99.989998,-99.989998,-99
1950,14.881661,32.523232,16.94463,-.10225891,11.1825,.95866376,2.0744319,8.3258181,.89734185,13.944663,12.3484,6.8966203,2.8198655,-99.989998,2.185457,-99.989998,3.7087913,7.7686205,-99.989998,-99.989998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,6.2513862,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,56.089394,-99.989998,-99.989998,-99.989998,-99
1951,15.568618,32.012383,15.220525,-5.0454435,12.008333,-.35683969,1.8090644,7.7421975,1.5566859,17.106791,12.724324,2.166364,.27960873,-99.989998,2.0562122,-99.989998,3.883359,7.444273,-99.989998,-99.989998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,5.9331331,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.31749,-99.989998,-99.989998,-99.989998,-99
1952,14.669484,30.005943,14.647428,-.35421702,12.454166,.57834846,.50843221,4.005527,.091852881,18.10874,12.927271,1.8232769,.86623728,-99.989998,2.0454669,-99.989998,3.9265273,7.1875415,-99.989998,-99.989998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,3.4970949,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.277428,-99.989998,-99.989998,-99.989998,-99
1953,14.329502,28.817322,15.030832,.58301669,12.000834,1.7203807,1.5374744,4.5810118,-.68804592,17.549685,12.720911,2.3814178,3.9509132,-99.989998,2.0110483,-99.989998,3.9989779,7.4869041,-99.989998,-99.989998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,3.0435374,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.17276,-99.989998,-99.989998,-99.989998,-99
1954,14.029462,29.269661,15.364917,-.21701492,13.665,1.1754791,-1.8129933,-.58040196,-.62003297,20.339792,13.47845,-.12007206,3.758476,-99.989998,2.0862997,-99.989998,4.0382962,7.3401251,-99.989998,-99.989998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,1.2325914,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,55.489445,-99.989998,-99.989998,-99.989998,-99
1955,15.07178,31.461235,16.169212,1.0744975,17.524166,1.2501453,3.3117638,6.8913264,1.1102196,24.035076,15.235168,4.3921189,.69756138,-99.989998,2.0874267,-99.989998,3.9405539,7.7009683,-99.989998,-99.989998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,3.5795627,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,56.645298,-99.989998,-99.989998,-99.989998,-99
1956,14.070183,29.990715,16.399645,.88242501,18.259167,1.1516013,2.6397312,2.1091139,3.6691775,24.808178,15.569744,.039992001,.82657444,-99.989998,2.1315086,-99.989998,4.0505271,7.6625953,-99.989998,-99.989998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-.53061724,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.49456,-99.989998,-99.989998,-99.989998,-99
1957,13.885464,29.537369,15.970464,.86779928,15.614166,1.1752403,.42612693,2.0822484,.48220482,23.097769,14.365723,1.0544214,3.7777364,-99.989998,2.1272151,-99.989998,4.1852622,7.4878507,-99.989998,-99.989998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,1.6561215,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.065468,-99.989998,-99.989998,-99.989998,-99
1958,13.520169,29.03521,14.817123,-.37360132,15.1425,1.2912256,-1.6078558,-.74085587,-2.0162368,25.277639,14.151017,.13990209,3.0432208,-99.989998,2.1475477,-99.989998,4.3448811,6.9189086,-99.989998,-99.989998,-99.989998,13.531003,-99.989998,-99.989998,-99.989998,-99.989998,.86699992,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,55.434845,-99.989998,-99.989998,-99.989998,-99
1959,14.800838,30.569107,15.679509,2.1314228,18.365833,1.4023063,2.4838457,6.7079873,-.46344748,30.492058,15.618299,3.9316862,-.14009809,-99.989998,2.0653632,-99.989998,4.3433876,7.5452437,-99.989998,-99.989998,-99.989998,12.557505,-99.989998,-99.989998,-99.989998,-99.989998,4.2241416,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,56.037647,-99.989998,-99.989998,-99.989998,-99
1960,14.234645,29.143753,15.339233,1.8995658,17.418333,1.6463132,1.7728758,2.5412197,-1.3218049,28.767187,15.186992,.64789659,2.9558802,-99.989998,2.0473819,-99.989998,4.3403873,7.4561009,-99.989998,-99.989998,-99.989998,12.132978,-99.989998,-99.989998,-99.989998,-99.989998,.76834393,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,56.108616,-99.989998,-99.989998,-99.989998,-99
1961,14.418177,29.418518,14.870153,1.3726864,20.455833,1.2925202,-.061203349,2.5290966,-1.3732699,33.813931,16.569681,1.8919885,1.232375,-99.989998,2.0403771,-99.989998,4.3413825,7.2617908,-99.989998,-99.989998,-99.989998,12.562344,-99.989998,-99.989998,-99.989998,-99.989998,2.5902998,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,55.354179,-99.989998,-99.989998,-99.989998,-99
1962,15.298585,30.143707,15.052161,1.6681421,18.823334,1.1574984,1.4457725,5.9478636,-1.1627555,29.106068,15.826557,3.3144598,1.3804281,-99.989998,1.9703592,-99.989998,4.3533068,7.6224895,-99.989998,-99.989998,-99.989998,13.572752,-99.989998,-99.989998,-99.989998,-99.989998,4.5020909,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,55.513981,-99.989998,-99.989998,-99.989998,-99
1963,16.091473,31.00164,15.32549,1.9376528,20.259167,1.8661885,1.5734731,4.26195,-1.5616009,30.914055,16.480158,2.8587456,1.9410393,-99.989998,1.9265882,-99.989998,4.40482,7.9221625,-99.989998,-99.989998,-99.989998,14.009806,-99.989998,-99.989998,-99.989998,-99.989998,2.688477,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,55.351719,-99.989998,-99.989998,-99.989998,-99
1964,16.331043,31.335564,15.675675,2.1702392,22.5525,1.6756765,2.2500677,5.6031036,-.90752971,32.665569,17.524097,2.7615168,1.9802628,-99.989998,1.9187728,-99.989998,4.3627229,8.1544085,-99.989998,-99.989998,-99.989998,13.98521,-99.989998,-99.989998,-99.989998,-99.989998,3.3530359,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,55.67057,-99.989998,-99.989998,-99.989998,-99
1965,17.10832,32.322121,16.219856,2.2455795,23.262501,1.6163158,2.5204649,6.2960534,-.2038351,32.722546,17.847294,3.1983047,1.3902905,-99.989998,1.8892632,-99.989998,4.3924699,8.5638905,-99.989998,-99.989998,-99.989998,14.40582,-99.989998,-99.989998,-99.989998,-99.989998,3.7755885,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,56.176197,-99.989998,-99.989998,-99.989998,-99
1966,17.03146,31.860176,16.056061,2.2316203,21.301666,1.2133638,2.5116813,6.3874459,-.8960579,29.508068,16.95471,2.7420595,2.3423514,-99.989998,1.8706663,-99.989998,4.4164038,8.5304947,-99.989998,-99.989998,-99.989998,14.244793,-99.989998,-99.989998,-99.989998,-99.989998,3.8757646,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,56.910297,-99.989998,-99.989998,-99.989998,-99
1967,16.236937,30.887939,15.44186,2.1146514,21.605,1.4079574,2.0344257,2.7049365,.034620129,32.474876,17.092789,.41912046,3.4208171,-99.989998,1.9023256,-99.989998,4.4804401,8.0684595,-99.989998,-99.989998,-99.989998,14.826937,-99.989998,-99.989998,-99.989998,-99.989998,.67051077,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.267941,-99.989998,-99.989998,-99.989998,-99
1968,15.963129,30.616219,15.722335,1.5922794,21.485001,1.6448714,2.0456879,4.7978773,-.021611731,34.150093,17.038164,2.5277808,2.4302292,-99.989998,1.9179335,-99.989998,4.4673538,8.1421127,-99.989998,-99.989998,-99.989998,14.905629,-99.989998,-99.989998,-99.989998,-99.989998,2.7521894,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.497944,-99.989998,-99.989998,-99.989998,-99
1969,15.027715,28.978859,16.155661,2.2822759,19.4275,1.7323986,2.5515959,3.0779879,.15574364,32.335487,16.101578,-.39076248,-1.1870172,-99.989998,1.9283609,-99.989998,4.5558782,8.3320589,-99.989998,-99.989998,-99.989998,13.713548,-99.989998,-99.989998,-99.989998,-99.989998,.52639198,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.970898,-99.989998,-99.989998,-99.989998,-99
1970,13.845029,27.352089,15.65266,2.8504751,15.1825,2.0273077,1.0142092,.18598263,-.70029145,27.761936,14.169226,-.71253252,2.6641932,-99.989998,1.9755892,-99.989998,4.6312017,7.8475761,-99.989998,-99.989998,-99.989998,13.189196,-99.989998,-99.989998,-99.989998,-99.989998,-.82822651,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.386562,-99.989998,-99.989998,-99.989998,-99
1971,14.170668,28.61261,16.190231,.66787398,16.865833,2.2580433,.86791569,3.239037,.60617232,33.334805,14.93549,2.5765207,3.0141158,-99.989998,2.0191433,-99.989998,4.5746355,7.9333363,-99.989998,-99.989998,-99.989998,13.999001,-99.989998,-99.989998,-99.989998,-99.989998,2.3711214,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,56.594334,-99.989998,-99.989998,-99.989998,-99
1972,14.231391,28.85331,17.121414,.4649654,17.768333,2.7497401,3.4441109,5.1261029,.43237847,37.041138,15.346313,3.0432208,1.3902905,-99.989998,2.0274413,-99.989998,4.5309067,8.3792849,-99.989998,-99.989998,-99.989998,12.338058,-99.989998,-99.989998,-99.989998,-99.989998,1.6819921,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,56.988674,-99.989998,-99.989998,-99.989998,-99
1973,13.87496,28.680496,17.609093,1.2359837,16.147499,2.0408931,3.4888732,5.4916468,-.50060213,32.448776,14.6085,2.6739297,1.252128,-99.989998,2.0670688,-99.989998,4.4630737,8.4679613,-99.989998,-99.989998,-99.989998,10.05496,-99.989998,-99.989998,-99.989998,-99.989998,2.0027735,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.819862,-99.989998,-99.989998,-99.989998,-99
1974,12.385594,27.796249,16.85866,-1.9911437,10.925834,2.0349391,2.0381386,-.54127091,-1.0730288,22.095922,12.231564,-3.8013442,-1.136433,-99.989998,2.2442403,-99.989998,4.4149027,7.4744797,-99.989998,-99.989998,-99.989998,12.412261,-99.989998,-99.989998,-99.989998,-99.989998,-2.5794096,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.821712,-99.989998,-99.989998,-99.989998,-99
1975,13.373233,30.046715,15.63891,-1.0461709,10.235833,1.999251,-1.1264875,-.2070559,3.5471382,23.793646,11.917471,.6677655,3.2176731,-99.989998,2.2467802,-99.989998,4.7231612,6.9262466,-99.989998,-99.989998,-99.989998,15.906567,-99.989998,-99.989998,-99.989998,-99.989998,.91943157,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,56.042313,-99.989998,-99.989998,-99.989998,-99
1976,13.722391,30.532944,16.339275,.34625718,11.545,1.9378114,3.3480089,5.248837,.27915093,25.117519,12.513412,3.3144598,.11992805,-99.989998,2.2250454,-99.989998,4.7140388,7.2953653,-99.989998,-99.989998,-99.989998,14.414891,-99.989998,-99.989998,-99.989998,-99.989998,1.9008281,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,56.838219,-99.989998,-99.989998,-99.989998,-99
1977,13.50749,30.725029,17.979633,-1.217721,10.433333,1.8300486,3.6124463,4.5205717,.76310319,21.448099,12.007375,1.9410393,1.607018,-99.989998,2.2746661,-99.989998,4.6690884,7.8451662,-99.989998,-99.989998,-99.989998,13.67749,-99.989998,-99.989998,-99.989998,-99.989998,.9081254,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.860386,-99.989998,-99.989998,-99.989998,-99
1978,13.213606,30.411072,19.246471,.41356686,9.3783331,1.7931957,4.2852921,5.3871865,1.0860515,19.656214,11.527132,1.3311014,.48880342,-99.989998,2.3014967,-99.989998,4.6579947,8.2923765,-99.989998,-99.989998,-99.989998,12.173606,-99.989998,-99.989998,-99.989998,-99.989998,1.1018944,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,59.320438,-99.989998,-99.989998,-99.989998,-99
1979,12.279102,29.275795,19.856888,1.7354488,8.9266663,1.8078667,2.852416,3.1174781,-.26190063,19.318899,11.32153,-.84354788,-.050012503,-99.989998,2.3841968,-99.989998,4.6408048,8.2758617,-99.989998,-99.989998,-99.989998,11.330769,-99.989998,-99.989998,-99.989998,-99.989998,.26506209,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,59.943317,-99.989998,-99.989998,-99.989998,-99
1980,11.476599,28.587265,18.772968,2.0679836,8.8316669,1.7324523,.4826,-.25709614,-1.6077547,20.798786,11.278286,-2.0917249,.47885168,-99.989998,2.4909179,-99.989998,4.706841,7.4733396,-99.989998,-99.989998,-99.989998,11.861599,-99.989998,-99.989998,-99.989998,-99.989998,-.73969615,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,59.198776,-99.989998,-99.989998,-99.989998,-99
1981,12.290889,30.123215,18.752728,7.578403,8.4641666,1.4113424,1.0978918,2.5056279,-.097202241,20.970167,11.110997,1.093994,.38924146,-99.989998,2.4508574,-99.989998,4.8588405,7.5840659,-99.989998,-99.989998,-99.989998,7.9958887,-99.989998,-99.989998,-99.989998,-99.989998,1.4077361,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,59.013508,-99.989998,-99.989998,-99.989998,-99
1982,12.145471,30.135208,17.821041,7.6075478,7.3466668,1.2507914,-.87073237,-1.8185629,-.12476826,18.49633,10.602304,-2.9428811,0,-99.989998,2.481189,-99.989998,5.0671358,7.0872407,-99.989998,-99.989998,-99.989998,7.3454704,-99.989998,-99.989998,-99.989998,-99.989998,-.9478305,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.774712,-99.989998,-99.989998,-99.989998,-99
1983,13.037289,30.849655,17.702257,4.8841276,9.6408329,1.1223253,1.2902546,4.4809451,-4.067451,24.751451,11.646624,1.9214219,-1.21738,-99.989998,2.3662632,-99.989998,5.1029191,7.3892312,-99.989998,-99.989998,-99.989998,7.3981218,-99.989998,-99.989998,-99.989998,-99.989998,3.1906905,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.871811,-99.989998,-99.989998,-99.989998,-99
1984,14.009351,31.615761,18.691797,7.073194,9.4300003,1.2364256,4.0633259,6.987011,-3.0723855,22.931623,11.550651,3.3724868,1.1236632,-99.989998,2.2567613,-99.989998,5.0867548,8.2079477,-99.989998,-99.989998,-99.989998,8.0635176,-99.989998,-99.989998,-99.989998,-99.989998,2.9236851,-99.989998,.5291028,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,59.531136,-99.989998,-99.989998,-99.989998,-99
1985,13.947531,30.917938,18.617193,4.7308912,10.690833,1.0281019,2.0280511,4.0855532,-2.3485975,25.548584,12.12459,.95542127,1.813457,-99.989998,2.216732,-99.989998,5.1609416,8.3423443,-99.989998,-99.989998,-99.989998,9.896698,-99.989998,-99.989998,-99.989998,-99.989998,2.057502,-99.989998,.5291028,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,60.129402,-99.989998,-99.989998,-99.989998,-99
1986,13.129897,29.330109,18.398987,4.4482727,13.389167,1.3272958,2.2575645,3.403821,.1157134,29.623932,13.352889,1.1533235,1.607018,-99.989998,2.2338414,-99.989998,5.1954527,8.1191778,-99.989998,-99.989998,-99.989998,10.725731,-99.989998,-99.989998,-99.989998,-99.989998,1.1462564,-99.989998,.5291028,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,60.691376,-99.989998,-99.989998,-99.989998,-99
1987,13.267795,29.630096,17.81595,3.5677135,16.015833,1.1922874,2.557112,3.4010949,-1.0586559,30.9391,14.548564,.68763041,-.030004501,-99.989998,2.2332344,-99.989998,5.2200537,7.9121628,-99.989998,-99.989998,-99.989998,10.628628,-99.989998,-99.989998,-99.989998,-99.989998,.84398293,-99.989998,.5291028,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,61.525387,-99.989998,-99.989998,-99.989998,-99
