year,ProfitK,ProfitY,IY,RF,PE,growthpop,growthemp,growthGDP,priceinvt,PD,PEop,growthTFP,growthTFPADJ,ERP,KY,ystar,Drate,ik,LS,CS,PS,SP,ERPalt,SPMU,SPRISK,Spread2,gYN,ER,lev_net_mkt,kstar,vstar,cstar,xstar,logystar,logxstar,logcstar,EmpPop,IUY,IUKU,ProfitKU,priceinvtU,shareCapU,logystar2,logxstar2,logcstar2,TobinQ
1980,11.832026,28.587265,16.872572,-.38499999,8.8316669,1.7324523,.4826,-.25709614,-1.4751616,20.798786,11.278286,-2.0917249,.47885168,-99.989998,2.4160922,-99.989998,4.706841,6.9834142,-99.989998,-99.989998,-99.989998,11.861599,-99.989998,-99.989998,-99.989998,-99.989998,-.73969615,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,59.198776,1.9038953,25.44434,382.05048,-3.0855651,-99.989998,-99.989998,-99.989998,-99.989998,-99
1981,12.686332,30.123215,16.735266,4.2950001,8.4641666,1.4113424,1.0978918,2.5056279,.16667013,20.970167,11.110997,1.093994,.38924146,-99.989998,2.3744621,-99.989998,4.8588405,7.0480242,-99.989998,-99.989998,-99.989998,7.9958887,-99.989998,-99.989998,-99.989998,-99.989998,1.4077361,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,59.013508,2.0205801,26.45978,394.46774,-1.6840671,-99.989998,-99.989998,-99.989998,-99.989998,-99
1982,12.560437,30.135208,15.649859,4.8000002,7.3466668,1.2507914,-.87073237,-1.8185629,-.098934457,18.49633,10.602304,-2.9428811,0,-99.989998,2.3992164,-99.989998,5.0671358,6.5229044,-99.989998,-99.989998,-99.989998,7.3454704,-99.989998,-99.989998,-99.989998,-99.989998,-.9478305,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.774712,2.1741731,26.523167,367.62537,-.06789232,-99.989998,-99.989998,-99.989998,-99.989998,-99
1983,13.51525,30.849655,15.4623,5.6391668,9.6408329,1.1223253,1.2902546,4.4809451,-4.3587704,24.751451,11.646624,1.9214219,-1.21738,-99.989998,2.2825811,-99.989998,5.1029191,6.7740417,-99.989998,-99.989998,-99.989998,7.3981218,-99.989998,-99.989998,-99.989998,-99.989998,3.1906905,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.871811,2.2372041,26.734627,368.6539,-.78032595,-99.989998,-99.989998,-99.989998,-99.989998,-99
1984,14.549866,31.615761,16.338915,5.9458332,9.4300003,1.2364256,4.0633259,6.987011,-3.3292887,22.931623,11.550651,3.3724868,1.1236632,-99.989998,2.1729245,-99.989998,5.0867548,7.5193195,-99.989998,-99.989998,-99.989998,8.0635176,-99.989998,-99.989998,-99.989998,-99.989998,2.9236851,-99.989998,.5291028,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,59.531136,2.3528829,28.064993,377.11017,-1.2783216,-99.989998,-99.989998,-99.989998,-99.989998,-99
1985,14.509608,30.917938,16.190367,4.0508332,10.690833,1.0281019,2.0280511,4.0855532,-2.3731821,25.548584,12.12459,.95542127,1.813457,-99.989998,2.1308596,-99.989998,5.1609416,7.5980444,-99.989998,-99.989998,-99.989998,9.896698,-99.989998,-99.989998,-99.989998,-99.989998,2.057502,-99.989998,.5291028,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,60.129402,2.4268265,28.26087,360.04544,-2.1460316,-99.989998,-99.989998,-99.989998,-99.989998,-99
1986,13.673212,29.330109,15.918421,2.4041667,13.389167,1.3272958,2.2575645,3.403821,.41464114,29.623932,13.352889,1.1533235,1.607018,-99.989998,2.1450782,-99.989998,5.1954527,7.4209046,-99.989998,-99.989998,-99.989998,10.725731,-99.989998,-99.989998,-99.989998,-99.989998,1.1462564,-99.989998,.5291028,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,60.691376,2.4783823,27.92815,330.51221,-1.5258954,-99.989998,-99.989998,-99.989998,-99.989998,-99
1987,13.840682,29.630096,15.342314,2.6391666,16.015833,1.1922874,2.557112,3.4010949,-.99919641,30.9391,14.548564,.68763041,-.030004501,-99.989998,2.1407974,-99.989998,5.2200537,7.1666346,-99.989998,-99.989998,-99.989998,10.628628,-99.989998,-99.989998,-99.989998,-99.989998,.84398293,-99.989998,.5291028,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,61.525387,2.4736366,26.766214,320.6152,-1.2949222,-99.989998,-99.989998,-99.989998,-99.989998,-99
1988,14.29188,30.142754,15.006493,3.2358334,14.44,1.0125339,2.2292924,4.0920687,-1.5072922,24.686829,11.476666,1.3804281,2.3423514,-99.989998,2.1090825,-99.989998,5.2707777,7.1151757,-99.989998,-99.989998,-99.989998,10.44734,-99.989998,-99.989998,-99.989998,-99.989998,1.8627763,-99.989998,.5291028,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,62.278572,2.5341837,27.009974,321.2691,-1.1166842,-99.989998,-99.989998,-99.989998,-99.989998,-99
1989,14.31945,29.600113,14.568563,4.0183334,16.613333,.95960742,2.0258167,3.6064289,-1.9121882,28.15316,13.1,-.58168852,-.15011261,-99.989998,2.0671263,-99.989998,5.3254004,7.0477366,-99.989998,-99.989998,-99.989998,9.6674032,-99.989998,-99.989998,-99.989998,-99.989998,1.5806122,-99.989998,.5291028,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,62.946144,2.6605928,27.791149,309.18719,-3.3957882,-99.989998,-99.989998,-99.989998,-99.989998,-99
1990,14.225864,29.058876,13.659003,2.8658333,16.4575,1.4757483,1.2440022,1.8688306,-2.4234438,27.424585,14.355833,.12991558,.30952048,-99.989998,2.0426791,-99.989998,5.3930473,6.6868076,-99.989998,-99.989998,-99.989998,10.701422,-99.989998,-99.989998,-99.989998,-99.989998,.62482834,-99.989998,.5291028,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,62.800438,2.7569554,27.798445,293.00131,-3.7759531,-99.989998,-99.989998,-99.989998,-99.989998,-99
1991,14.411221,29.052483,12.432406,.95833331,17.920834,.92667657,-.91590118,-.10790081,-1.9543744,32.327278,18.834167,-.57163072,.70749134,-99.989998,2.0159626,-99.989998,5.5314293,6.1669822,-99.989998,-99.989998,-99.989998,12.744484,-99.989998,-99.989998,-99.989998,-99.989998,.80800039,-99.989998,.5291028,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,61.653889,2.9083645,27.910238,278.80331,-1.1690085,-99.989998,-99.989998,-99.989998,-99.989998,-99
1992,14.168177,28.071907,12.407405,.23916666,19.634167,.98012364,.65650678,3.4614255,-2.5707176,35.999943,20.834999,3.2079895,2.166364,-99.989998,1.9813352,-99.989998,5.4676938,6.2621431,-99.989998,-99.989998,-99.989998,13.212334,-99.989998,-99.989998,-99.989998,-99.989998,2.8049188,-99.989998,.5291028,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,61.454689,2.8787019,27.270086,265.92657,-3.8889709,-99.989998,-99.989998,-99.989998,-99.989998,-99
1993,14.4914,28.710449,12.963287,.12583333,20.749166,1.0485262,1.4833993,2.7155323,-1.357498,38.992973,18.584167,-.85363311,-2.5728149,-99.989998,1.9812061,-99.989998,5.4455686,6.543129,-99.989998,-99.989998,-99.989998,13.625204,-99.989998,-99.989998,-99.989998,-99.989998,1.232133,-99.989998,.5291028,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,61.722519,2.8708482,26.917294,269.19138,-1.962267,-99.989998,-99.989998,-99.989998,-99.989998,-99
1994,15.204498,30.077248,13.544297,2.46,20.48,1.0095356,2.31178,3.9495084,-.34453201,38.287018,15.5625,.39920214,-.80321717,-99.989998,1.9781809,-99.989998,5.422761,6.8468442,-99.989998,-99.989998,-99.989998,11.96071,-99.989998,-99.989998,-99.989998,-99.989998,1.6377285,-99.989998,.5448429,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,62.531555,2.8227577,26.250639,279.70764,-1.5599685,-99.989998,-99.989998,-99.989998,-99.989998,-99
1995,15.611753,30.865074,13.868345,2.9566667,22.720833,.89509434,1.4816689,2.6490037,-.92412865,41.878986,15.316667,.42907813,1.6365354,-99.989998,1.977041,-99.989998,5.5345807,7.014698,-99.989998,-99.989998,-99.989998,11.831478,-99.989998,-99.989998,-99.989998,-99.989998,1.1673348,-99.989998,.46237397,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,62.899426,2.968703,26.961483,280.31372,.62432808,-99.989998,-99.989998,-99.989998,-99.989998,-99
1996,15.96278,31.3563,14.220064,2.7958333,25.942499,1.0053328,1.4401776,3.7037337,-2.5558376,49.283382,17.101667,1.7250353,1.6857117,-99.989998,1.9643383,-99.989998,5.55476,7.2391114,-99.989998,-99.989998,-99.989998,12.309399,-99.989998,-99.989998,-99.989998,-99.989998,2.263556,-99.989998,.4142749,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,63.173538,3.1375804,28.138191,281.207,-2.1400383,-99.989998,-99.989998,-99.989998,-99.989998,-99
1997,16.180359,31.526573,14.418952,3.2383332,30.956667,1.2596235,2.2258041,4.3503819,-2.2060449,59.188644,20.325001,1.6758784,.73727542,-99.989998,1.9484471,-99.989998,5.5955281,7.4002275,-99.989998,-99.989998,-99.989998,12.046068,-99.989998,-99.989998,-99.989998,-99.989998,2.1245778,-99.989998,.35627505,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,63.786865,3.3575826,29.396753,276.02567,-1.765058,-99.989998,-99.989998,-99.989998,-99.989998,-99
1998,15.498354,30.261703,14.949022,2.7766666,36.006668,1.0220813,1.4584408,4.384366,-1.8572884,68.547188,24.5275,2.0880477,2.3716526,-99.989998,1.9525753,-99.989998,5.6227746,7.656054,-99.989998,-99.989998,-99.989998,11.841575,-99.989998,-99.989998,-99.989998,-99.989998,2.9259253,-99.989998,.33492512,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,64.065811,3.5099528,29.85733,257.42047,-1.8238961,-99.989998,-99.989998,-99.989998,-99.989998,-99
1999,15.128572,29.568474,15.171275,2.9941666,42.068333,1.2266493,1.5284653,4.6436567,-2.3035898,76.340782,27.605833,1.8723614,2.2446189,-99.989998,1.9544789,-99.989998,5.676105,7.7623119,-99.989998,-99.989998,-99.989998,11.236831,-99.989998,-99.989998,-99.989998,-99.989998,3.1151915,-99.989998,.3139697,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,64.259468,3.7910018,30.753033,239.86279,-.53468609,-99.989998,-99.989998,-99.989998,-99.989998,-99
2000,14.444789,28.300644,15.338021,3.675,41.700832,2.2953627,2.5147257,4.0446048,-2.068825,89.555916,25.540001,1.6365354,2.1174235,-99.989998,1.9592286,-99.989998,5.7786584,7.8286023,-99.989998,-99.989998,-99.989998,9.8847132,-99.989998,-99.989998,-99.989998,-99.989998,1.5298791,-99.989998,.36755082,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,64.400581,4.0117826,31.370605,221.3002,-.31465021,-99.989998,-99.989998,-99.989998,-99.989998,-99
2001,13.858451,27.912827,14.724338,.82249999,32.064167,1.1765069,.028240336,.99344963,-1.2459586,74.260696,26.4375,-.090040527,2.3716526,-99.989998,2.0141375,-99.989998,5.8109236,7.310493,-99.989998,-99.989998,-99.989998,12.20095,-99.989998,-99.989998,-99.989998,-99.989998,.96520931,-99.989998,.44943732,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,63.665321,3.921828,30.369556,216.14925,-2.632664,-99.989998,-99.989998,-99.989998,-99.989998,-99
2002,14.384482,29.476326,13.754069,-.315,25.918333,1.1450554,-.3353205,1.7268101,-1.1462916,61.429253,23.407499,1.8429135,2.4107075,-99.989998,2.0491753,-99.989998,5.7419162,6.7120023,-99.989998,-99.989998,-99.989998,13.845645,-99.989998,-99.989998,-99.989998,-99.989998,2.0621307,-99.989998,.61817187,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,62.729778,3.7142022,28.720922,227.93246,-3.2502713,-99.989998,-99.989998,-99.989998,-99.989998,-99
2003,14.728688,30.495232,13.914053,-.20583333,24.1075,1.6403494,.91050011,2.8205669,-1.4105592,55.512505,19.040001,2.1761491,1.6168581,-99.989998,2.0704648,-99.989998,5.6412268,6.7202554,-99.989998,-99.989998,-99.989998,14.064795,-99.989998,-99.989998,-99.989998,-99.989998,1.9100668,-99.989998,.51095402,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,62.273613,3.6541517,28.12521,234.71516,-3.5494058,-99.989998,-99.989998,-99.989998,-99.989998,-99
2004,14.912594,31.970192,14.568886,.12,26.413334,.98484254,1.0907466,3.7288442,.61546135,51.550774,18.010834,2.5472796,1.7053754,-99.989998,2.1438384,-99.989998,5.4405656,6.795701,-99.989998,-99.989998,-99.989998,13.955407,-99.989998,-99.989998,-99.989998,-99.989998,2.6380975,-99.989998,.34122714,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,62.339596,3.5844994,28.10915,250.70583,-3.4637735,-99.989998,-99.989998,-99.989998,-99.989998,-99
2005,15.071985,33.470497,15.372873,1.4516667,26.014166,1.2129704,1.7586037,3.4527235,1.530836,54.691151,16.512501,1.4297304,1.3607004,-99.989998,2.2207093,-99.989998,5.3425112,6.9225059,-99.989998,-99.989998,-99.989998,12.803573,-99.989998,-99.989998,-99.989998,-99.989998,1.6941198,-99.989998,.38053659,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,62.680672,3.6290138,28.520617,263.04648,-2.7361562,-99.989998,-99.989998,-99.989998,-99.989998,-99
2006,15.390784,34.715218,15.387343,2.4408333,25.978333,1.2012014,1.8925683,2.8153181,.75661701,52.733986,15.769167,1.1137744,-.3405793,-99.989998,2.2555847,-99.989998,5.3616776,6.821887,-99.989998,-99.989998,-99.989998,12.127645,-99.989998,-99.989998,-99.989998,-99.989998,.92274976,-99.989998,.43834168,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,63.115528,3.6649632,28.786673,272.67276,-2.1503632,-99.989998,-99.989998,-99.989998,-99.989998,-99
2007,15.281646,34.03933,14.490829,2.1966667,26.834167,1.3251572,1.1241183,1.8583225,-1.4875419,52.53521,16.790833,-.79313701,-.84354788,-99.989998,2.2274649,-99.989998,5.474309,6.5055246,-99.989998,-99.989998,-99.989998,12.24375,-99.989998,-99.989998,-99.989998,-99.989998,.73420417,-99.989998,.56917924,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,62.98877,3.7697465,29.051352,262.3223,-1.9404432,-99.989998,-99.989998,-99.989998,-99.989998,-99
2008,15.180489,33.909294,13.134821,-.48583335,20.775833,.82507902,-.4645597,-.13640426,-2.7744656,42.14933,18.672501,-1.8367658,-.43092716,-99.989998,2.233742,-99.989998,5.560101,5.880187,-99.989998,-99.989998,-99.989998,14.808106,-99.989998,-99.989998,-99.989998,-99.989998,.32815546,-99.989998,.54859674,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,62.181656,3.9040835,29.167725,253.33908,-2.0284817,-99.989998,-99.989998,-99.989998,-99.989998,-99
2009,15.391475,33.911652,10.49284,-1.2208333,16.922501,.85735071,-3.8420177,-2.5697944,-1.306663,39.901646,21.458334,-.48115569,3.1692448,-99.989998,2.203275,-99.989998,5.6869631,4.7623835,-99.989998,-99.989998,-99.989998,15.691816,-99.989998,-99.989998,-99.989998,-99.989998,1.2722232,-99.989998,.37055871,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,59.32711,3.9061797,27.871605,241.96843,-1.3609444,-99.989998,-99.989998,-99.989998,-99.989998,-99
2010,16.847349,36.229088,10.228053,-.63999999,20.719166,.85651004,-.58554626,2.5319781,-4.2042027,46.440563,15.0575,2.8393075,-.3205131,-99.989998,2.1504326,-99.989998,5.6006055,4.7562771,-99.989998,-99.989998,-99.989998,16.454762,-99.989998,-99.989998,-99.989998,-99.989998,3.1175244,-99.989998,.32248753,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,58.477718,3.8566978,27.467934,258.02856,-2.3908911,-99.989998,-99.989998,-99.989998,-99.989998,-99
